[Sat Mar 14 23:47:40.660452 2020] [php7:emerg] [pid 24421] [client 127.0.0.1:45598] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:49:05.373945 2020] [php7:notice] [pid 28169] [client 127.0.0.1:45606] PHP Notice:  Undefined variable: data in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 62, referer: http://data-2.test/
[Sat Mar 14 23:49:05.383551 2020] [php7:error] [pid 28169] [client 127.0.0.1:45606] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unknown "dump" function. in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig:61\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(446): Twig\\ExpressionParser->getFunctionNodeClass('dump', 61)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(235): Twig\\ExpressionParser->getFunctionNode('dump', 61)\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(175): Twig\\ExpressionParser->parsePrimaryExpression()\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(70): Twig\\ExpressionParser->getPrimary()\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(139): Twig\\ExpressionParser->parseExpression()\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/ForTokenParser.php(40): Twig\\Parser->subparse(Array)\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(18 in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig on line 61, referer: http://data-2.test/
[Sat Mar 14 23:52:14.342957 2020] [php7:error] [pid 3507] [client 127.0.0.1:45712] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unknown "dump" function. in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig:61\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(446): Twig\\ExpressionParser->getFunctionNodeClass('dump', 61)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(235): Twig\\ExpressionParser->getFunctionNode('dump', 61)\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(175): Twig\\ExpressionParser->parsePrimaryExpression()\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(70): Twig\\ExpressionParser->getPrimary()\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(139): Twig\\ExpressionParser->parseExpression()\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/ForTokenParser.php(40): Twig\\Parser->subparse(Array)\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(18 in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig on line 61, referer: http://data-2.test/
[Sat Mar 14 23:58:20.258158 2020] [php7:error] [pid 3512] [client 127.0.0.1:45786] PHP Recoverable fatal error:  Object of class PDOStatement could not be converted to string in /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(358) : eval()'d code on line 102, referer: http://data-2.test/
[Sun Mar 15 00:02:49.753068 2020] [php7:error] [pid 31385] [client 127.0.0.1:45884] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected "}". in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig:53\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(279): Twig\\Lexer->lexExpression()\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(180): Twig\\Lexer->lexBlock()\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(460): Twig\\Lexer->tokenize(Object(Twig\\Source))\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->tokenize(Object(Twig\\Source))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(309): Twig\\Environment->loadTemplate('__TwigTemplate_...', 'ceni.html.twig')\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(277): Twig\\Environment->load('ceni.html.tw in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig on line 53, referer: http://data-2.test/
[Sun Mar 15 00:05:23.812956 2020] [php7:error] [pid 31680] [client 127.0.0.1:45914] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected "stmt" tag (expecting closing tag for the "block" tag defined near line 3). in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig:54\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/BlockTokenParser.php(45): Twig\\Parser->subparse(Array, true)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(182): Twig\\TokenParser\\BlockTokenParser->parse(Object(Twig\\Token))\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(95): Twig\\Parser->subparse(NULL, false)\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(479): Twig\\Parser->parse(Object(Twig\\TokenStream))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->parse(Object(Twig\\TokenStream))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#6 /home/viktor/dev- in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig on line 54, referer: http://data-2.test/
[Sun Mar 15 00:14:39.124179 2020] [php7:error] [pid 31766] [client 127.0.0.1:46000] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected "raw" tag (expecting closing tag for the "block" tag defined near line 4). in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig:491\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/BlockTokenParser.php(45): Twig\\Parser->subparse(Array, true)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(182): Twig\\TokenParser\\BlockTokenParser->parse(Object(Twig\\Token))\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(95): Twig\\Parser->subparse(NULL, false)\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(479): Twig\\Parser->parse(Object(Twig\\TokenStream))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->parse(Object(Twig\\TokenStream))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#6 /home/vik in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig on line 491, referer: http://data-2.test/ceni
[Sun Mar 15 00:14:45.366247 2020] [php7:error] [pid 31767] [client 127.0.0.1:46002] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected "raw" tag (expecting closing tag for the "block" tag defined near line 4). in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig:491\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/BlockTokenParser.php(45): Twig\\Parser->subparse(Array, true)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(182): Twig\\TokenParser\\BlockTokenParser->parse(Object(Twig\\Token))\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(95): Twig\\Parser->subparse(NULL, false)\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(479): Twig\\Parser->parse(Object(Twig\\TokenStream))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->parse(Object(Twig\\TokenStream))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#6 /home/vik in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig on line 491, referer: http://data-2.test/ceni
[Sun Mar 15 00:16:34.071076 2020] [php7:error] [pid 31385] [client 127.0.0.1:46020] PHP Fatal error:  Uncaught Error: Call to undefined function App\\Helpers\\dd() in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php:108\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/bootstrap/bootstrap.php(66): App\\Controllers\\IndexController->product()\n#1 /home/viktor/dev-projects/data-2/data-2/public/index.php(30): require_once('/home/viktor/de...')\n#2 {main}\n  thrown in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 108, referer: http://data-2.test/ceni
[Sun Mar 15 00:46:26.027414 2020] [php7:notice] [pid 31386] [client 127.0.0.1:46204] PHP Notice:  Undefined variable: post in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 112, referer: http://data-2.test/ceni
[Sun Mar 15 00:46:26.032579 2020] [php7:error] [pid 31386] [client 127.0.0.1:46204] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected character "!". in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig:125\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(279): Twig\\Lexer->lexExpression()\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(180): Twig\\Lexer->lexBlock()\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(460): Twig\\Lexer->tokenize(Object(Twig\\Source))\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->tokenize(Object(Twig\\Source))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(309): Twig\\Environment->loadTemplate('__TwigTemplate_...', 'shop/product.ht...')\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(277): Twig\\Environm in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig on line 125, referer: http://data-2.test/ceni
[Sun Mar 15 00:59:07.851801 2020] [php7:error] [pid 31388] [client 127.0.0.1:46294] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unexpected character "!". in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig:125\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(279): Twig\\Lexer->lexExpression()\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Lexer.php(180): Twig\\Lexer->lexBlock()\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(460): Twig\\Lexer->tokenize(Object(Twig\\Source))\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(507): Twig\\Environment->tokenize(Object(Twig\\Source))\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(348): Twig\\Environment->compileSource(Object(Twig\\Source))\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(309): Twig\\Environment->loadTemplate('__TwigTemplate_...', 'shop/product.ht...')\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Environment.php(277): Twig\\Environm in /home/viktor/dev-projects/data-2/data-2/App/Views/shop/product.html.twig on line 125, referer: http://data-2.test/ceni
